frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,frame.len
1100903365.037960000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.039242000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.039309000,10.1.1.101,10.1.1.1,TCP,54
1100903365.040491000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.041806000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.041869000,10.1.1.101,10.1.1.1,TCP,54
1100903365.043048000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.044375000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.044454000,10.1.1.101,10.1.1.1,TCP,54
1100903365.045614000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.046911000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.046965000,10.1.1.101,10.1.1.1,TCP,54
1100903365.048176000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.049472000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.049531000,10.1.1.101,10.1.1.1,TCP,54
1100903365.050724000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.052026000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.052062000,10.1.1.101,10.1.1.1,TCP,54
1100903365.053318000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.054593000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.054658000,10.1.1.101,10.1.1.1,TCP,54
1100903365.055845000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.057162000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.057241000,10.1.1.101,10.1.1.1,TCP,54
1100903365.058410000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.059717000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.059790000,10.1.1.101,10.1.1.1,TCP,54
1100903365.060971000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.062270000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.062347000,10.1.1.101,10.1.1.1,TCP,54
1100903365.063513000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.064814000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.064840000,10.1.1.101,10.1.1.1,TCP,54
1100903365.066070000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.067388000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.067414000,10.1.1.101,10.1.1.1,TCP,54
1100903365.068631000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.117951000,10.1.1.101,10.1.1.1,TCP,54
1100903365.120351000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.121577000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.121630000,10.1.1.101,10.1.1.1,TCP,54
1100903365.122830000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.124141000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.124192000,10.1.1.101,10.1.1.1,TCP,54
1100903365.125401000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.126700000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.126745000,10.1.1.101,10.1.1.1,TCP,54
1100903365.127946000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.129279000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.129311000,10.1.1.101,10.1.1.1,TCP,54
1100903365.130508000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.131809000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.131841000,10.1.1.101,10.1.1.1,TCP,54
1100903365.133066000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.134366000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.134399000,10.1.1.101,10.1.1.1,TCP,54
1100903365.135625000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.136924000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.136960000,10.1.1.101,10.1.1.1,TCP,54
1100903365.138180000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.139483000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.139514000,10.1.1.101,10.1.1.1,TCP,54
1100903365.140742000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.142043000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.142076000,10.1.1.101,10.1.1.1,TCP,54
1100903365.143297000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.144610000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.144644000,10.1.1.101,10.1.1.1,TCP,54
1100903365.145895000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.147162000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.147216000,10.1.1.101,10.1.1.1,TCP,54
1100903365.148413000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.149713000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.149748000,10.1.1.101,10.1.1.1,TCP,54
1100903365.150969000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.152272000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.152307000,10.1.1.101,10.1.1.1,TCP,54
1100903365.153527000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.154849000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.154925000,10.1.1.101,10.1.1.1,TCP,54
1100903365.156092000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.157410000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.157484000,10.1.1.101,10.1.1.1,TCP,54
1100903365.158657000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.159942000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.159980000,10.1.1.101,10.1.1.1,TCP,54
1100903365.161199000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.162499000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.162557000,10.1.1.101,10.1.1.1,TCP,54
1100903365.163755000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.165060000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.165111000,10.1.1.101,10.1.1.1,TCP,54
1100903365.166315000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.167622000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.167681000,10.1.1.101,10.1.1.1,TCP,54
1100903365.168883000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.170190000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.170258000,10.1.1.101,10.1.1.1,TCP,54
1100903365.171428000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.172732000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.172769000,10.1.1.101,10.1.1.1,TCP,54
1100903365.174007000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.175303000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.175343000,10.1.1.101,10.1.1.1,TCP,54
1100903365.224101000,10.1.1.101,10.1.1.1,TCP,54
1100903365.226477000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.227702000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.227753000,10.1.1.101,10.1.1.1,TCP,54
1100903365.228958000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.230264000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.230299000,10.1.1.101,10.1.1.1,TCP,54
1100903365.231603000,10.1.1.1,10.1.1.101,TCP,1514
